ship,survey_num,haul_num,total_haul_weight_kg,haul_type,performance,subsample,target_depth_date_time,haul_back_date_time,haul_duration,haul_distance_fished_nm,inpfc_region,td_latitude,td_longitude,hb_latitude,hb_longitude,avg_bot_depth_m,avg_footrope_depth_m,surface_temp_c,gear_temp_c,avg_wireout_m,transect,net_height_m
NOAA Bell M Shimada,201906,1,58.586,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/17/2019 16:52:13,06/17/2019 17:07:44,0:15:31,0.8871,Conception; from 32.5 to 36 degrees latitude,34.4036,-120.6568,34.4130,-120.6708,390.5657,335.7628,13.0241,7.9402,880.3000,1,19.0000
NOAA Bell M Shimada,201906,2,,Opportunistic off-bottom sample,Aborted,no catch data collected,,06/18/2019 21:59:00,,,Conception; from 32.5 to 36 degrees latitude,,,34.7102,-121.0947,550.0000,,,,,,
NOAA Bell M Shimada,201906,3,60.2,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/19/2019 20:12:00,06/19/2019 20:27:16,0:15:16,0.8775,Conception; from 32.5 to 36 degrees latitude,34.8986,-120.9075,34.9091,-120.9199,248.8937,227.0118,14.4230,9.1601,504.3365,4,20.9460
NOAA Bell M Shimada,201906,4,102.45,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/19/2019 22:09:22,06/19/2019 22:14:25,0:05:03,0.2787,Conception; from 32.5 to 36 degrees latitude,34.8943,-120.8763,34.8974,-120.8805,200.0231,172.4381,14.4316,9.7602,411.9800,4,24.0000
NOAA Bell M Shimada,201906,5,3.1,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/20/2019 15:02:31,06/20/2019 15:17:58,0:15:27,0.8962,Conception; from 32.5 to 36 degrees latitude,35.0625,-121.4547,35.0745,-121.4438,432.3527,140.9321,14.5482,9.4302,306.1019,5,20.7681
NOAA Bell M Shimada,201906,6,,Opportunistic off-bottom sample,Aborted,no catch data collected,,06/21/2019 01:29:33,,,Conception; from 32.5 to 36 degrees latitude,,,35.3852,-121.1463,325.0000,,,,,,
NOAA Bell M Shimada,201906,7,52.12,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/21/2019 02:31:23,06/21/2019 02:51:32,0:20:09,1.0617,Conception; from 32.5 to 36 degrees latitude,35.3936,-121.1581,35.4066,-121.1728,329.9151,197.5701,15.7217,7.8271,355.0466,7,26.2643
NOAA Bell M Shimada,201906,8,103.786,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),06/21/2019 21:26:02,06/21/2019 21:41:33,0:15:31,0.8553,Conception; from 32.5 to 36 degrees latitude,35.5583,-121.4340,35.5686,-121.4460,608.9906,341.4472,15.2521,7.8364,695.6594,8,23.2285
NOAA Bell M Shimada,201906,9,118.73,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/22/2019 01:18:57,06/22/2019 01:29:55,0:10:58,0.5479,Conception; from 32.5 to 36 degrees latitude,35.5620,-121.2993,35.5678,-121.3079,283.5476,271.7103,14.3549,8.6373,467.4469,8,25.0760
NOAA Bell M Shimada,201906,10,91.834,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/22/2019 17:34:30,06/22/2019 17:56:56,0:22:26,1.1537,Conception; from 32.5 to 36 degrees latitude,35.7300,-121.7384,35.7450,-121.7532,945.8449,321.3075,15.6487,7.5228,564.6652,9,32.0431
NOAA Bell M Shimada,201906,11,60.2548,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/23/2019 01:58:33,06/23/2019 02:18:36,0:20:03,1.0078,Conception; from 32.5 to 36 degrees latitude,35.9023,-121.5820,35.9130,-121.5980,578.1975,387.9463,13.6974,7.5741,728.1337,10,24.9210
NOAA Bell M Shimada,201906,12,87.3,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/23/2019 17:17:53,06/23/2019 17:43:42,0:25:49,1.4624,Monterey; from 36 to 40.5 degrees latitude,36.0648,-121.7400,36.0684,-121.7699,822.2394,259.5809,13.7276,8.5426,510.4294,11,25.4773
NOAA Bell M Shimada,201906,13,68.206,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),06/24/2019 15:21:50,06/24/2019 15:44:37,0:22:47,1.1412,Monterey; from 36 to 40.5 degrees latitude,36.3962,-122.0503,36.4108,-122.0656,636.9927,293.8306,14.0116,7.9199,641.4826,13,25.6767
NOAA Bell M Shimada,201906,14,2.503,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),06/24/2019 20:08:10,06/24/2019 20:24:29,0:16:19,0.8734,Monterey; from 36 to 40.5 degrees latitude,36.5446,-121.9968,36.5573,-122.0057,630.1381,197.3214,14.9600,7.4098,442.3515,14,18.9750
NOAA Bell M Shimada,201906,15,306.782,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/25/2019 21:11:34,06/25/2019 21:26:42,0:15:08,0.8936,Monterey; from 36 to 40.5 degrees latitude,37.0603,-122.6847,37.0696,-122.6992,377.5223,345.0231,15.2597,6.1559,711.1378,17,24.0694
NOAA Bell M Shimada,201906,16,26.606,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/25/2019 23:43:22,06/25/2019 23:51:25,0:08:03,0.4371,Monterey; from 36 to 40.5 degrees latitude,37.0617,-122.6611,37.0670,-122.6674,261.1190,241.2657,15.3067,6.8443,401.9691,17,25.4462
NOAA Bell M Shimada,201906,17,110.768,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/26/2019 17:08:08,06/26/2019 17:28:17,0:20:09,1.2350,Monterey; from 36 to 40.5 degrees latitude,37.2357,-122.8715,37.2504,-122.8896,317.0245,305.9837,14.2777,7.7288,637.3064,18,25.0736
NOAA Bell M Shimada,201906,18,,Opportunistic off-bottom sample,Aborted,no catch data collected,,06/27/2019 15:40:14,,,Monterey; from 36 to 40.5 degrees latitude,,,37.3817,-122.9898,680.0000,,,,,,
NOAA Bell M Shimada,201906,19,177.554,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/27/2019 23:57:33,06/28/2019 00:14:57,0:17:24,1.9600,Monterey; from 36 to 40.5 degrees latitude,37.5639,-123.0481,37.5695,-123.0617,540.8879,269.5455,13.7560,8.2279,379.9714,20,30.2921
NOAA Bell M Shimada,201906,20,219.932,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/02/2019 18:51:55,07/02/2019 19:12:06,0:20:11,1.1612,Monterey; from 36 to 40.5 degrees latitude,37.9025,-123.4431,37.9163,-123.4603,327.6771,284.5729,11.2023,7.6042,688.5170,22,18.9661
NOAA Bell M Shimada,201906,21,,Opportunistic off-bottom sample,Aborted,no catch data collected,,07/03/2019 01:29:47,,,Monterey; from 36 to 40.5 degrees latitude,,,38.0568,-123.5263,318.0000,,,,,,
NOAA Bell M Shimada,201906,22,525.356,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/03/2019 15:39:14,07/03/2019 15:47:33,0:08:19,0.4591,Monterey; from 36 to 40.5 degrees latitude,38.0564,-123.5302,38.0629,-123.5355,427.6215,275.8761,10.3019,7.6188,585.3218,23,21.3657
NOAA Bell M Shimada,201906,23,0.83,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/04/2019 15:53:23,07/04/2019 16:18:18,0:24:55,1.6807,Monterey; from 36 to 40.5 degrees latitude,38.5620,-123.8027,38.5801,-123.8301,1574.7300,96.2503,12.7596,9.2431,261.0870,26,17.3930
NOAA Bell M Shimada,201906,24,121.002,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/04/2019 19:16:38,07/04/2019 19:47:06,0:30:28,1.8923,Monterey; from 36 to 40.5 degrees latitude,38.5600,-123.7883,38.5795,-123.8200,1449.9944,290.0696,13.0231,7.4397,671.4419,26,18.2875
NOAA Bell M Shimada,201906,25,140.45,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),07/05/2019 15:14:56,07/05/2019 15:22:08,0:07:12,0.4267,Monterey; from 36 to 40.5 degrees latitude,38.7320,-123.8279,38.7384,-123.8317,281.2794,236.9015,10.3087,7.7879,534.1438,27,23.0000
NOAA Bell M Shimada,201906,26,645.062,Opportunistic off-bottom sample,Gear performance issue,100% processed (no subsample),07/06/2019 15:25:53,07/06/2019 15:30:43,0:04:50,0.2693,Monterey; from 36 to 40.5 degrees latitude,39.0691,-123.9506,39.0733,-123.9527,245.6496,211.0185,12.1928,7.8976,421.1939,29,20.0000
NOAA Bell M Shimada,201906,27,408.988,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/06/2019 21:11:23,07/06/2019 21:14:43,0:03:20,0.1994,Monterey; from 36 to 40.5 degrees latitude,39.2397,-123.9602,39.2419,-123.9634,238.9466,,10.9334,8.1194,334.0455,30,NR
NOAA Bell M Shimada,201906,28,291.078,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/07/2019 16:48:58,07/07/2019 17:32:21,0:43:23,2.3059,Monterey; from 36 to 40.5 degrees latitude,39.3936,-124.3886,39.4208,-124.4238,1707.2811,,10.9686,8.0698,444.7201,31,NR
