"year","age","pred_weight"
1989,9,0.548379577681858
1989,10,0.790297019212804
1989,11,0.56197650710556
1989,12,0.793971693609771
1989,13,0.810263892399326
1989,14,0.984192310854116
1989,15,0.906910436289112
1990,0,0.0362562915332406
1990,1,0.100249463174442
1990,2,0.215039328730948
1990,3,0.325518486422613
1990,4,0.503045274987452
1990,5,0.38029664845661
1990,6,0.389055820676488
1990,7,0.437745831972058
1990,8,0.661983102799214
1990,9,0.634357779359758
1990,10,0.572348918675756
1990,11,0.820185758967248
1990,12,0.607335223574423
1990,13,0.884799751431427
1990,14,0.873355735586321
1990,15,0.975389545534386
1991,0,0.0331212217912926
1991,1,0.100903531635559
1991,2,0.232590168910371
1991,3,0.365357550369009
1991,4,0.408698545130755
1991,5,0.532599018162081
1991,6,0.394087788821631
1991,7,0.422448758674999
1991,8,0.484917411949181
1991,9,0.70709578966046
1991,10,0.645123906318368
1991,11,0.578778005437807
1991,12,0.863677896176188
1991,13,0.659474054569241
1991,14,0.929263661358367
1991,15,0.843370832673079
1992,0,0.0378528733658817
1992,1,0.0946062518355711
1992,2,0.240273661465288
1992,3,0.405585150933715
1992,4,0.470799531820827
1992,5,0.444106245155179
1992,6,0.566449689172642
1992,7,0.439183080362372
1992,8,0.480297469610218
1992,9,0.531605697710551
1992,10,0.73803612207629
1992,11,0.669552736346667
1992,12,0.625521297268397
1992,13,0.962523963220107
1992,14,0.710856890949194
1992,15,0.9209941173558
1993,0,0.0342538476532845
1993,1,0.089146938454838
1993,2,0.185743544833289
1993,3,0.345454577823487
1993,4,0.430917444073431
1993,5,0.421807118013806
1993,6,0.389441253994366
1993,7,0.520484808843487
1993,8,0.411695342634948
1993,9,0.43413643963254
1993,10,0.457491560847062
1993,11,0.631558180580195
1993,12,0.596635326959379
1993,13,0.574772445134504
1993,14,0.855441090963694
1993,15,0.580890364593826
1994,0,0.0341096152172355
1994,1,0.103688685539699
1994,2,0.224964894308109
1994,3,0.343251893224202
1994,4,0.471755972360161
1994,5,0.496233846990037
1994,6,0.475426521289793
1994,7,0.459942028936354
1994,8,0.62712315750374
1994,9,0.478306542849647
1994,10,0.480213236314769
1994,11,0.503191457898301
1994,12,0.723355796923527
1994,13,0.704656122041453
1994,14,0.656581924865175
1994,15,0.898496787644015
1995,0,0.0404447477551428
1995,1,0.105261342111844
1995,2,0.266753277189073
1995,3,0.423822529626507
1995,4,0.477869675216252
1995,5,0.553834225692563
1995,6,0.570198354317508
1995,7,0.572419766601531
1995,8,0.564960327519008
1995,9,0.742768164755978
1995,10,0.539366890846279
1995,11,0.53846115072624
1995,12,0.587546085267949
1995,13,0.870944150877944
1995,14,0.8206165817265
1995,15,0.703048716244418
1996,0,0.0413933714248663
1996,1,0.108565482644281
1996,2,0.235550945154637
1996,3,0.437136030702331
1996,4,0.51323719557116
1996,5,0.487988299358209
1996,6,0.553550083247418
1996,7,0.597165528959592
1996,8,0.611599372264086
1996,9,0.582044177122918
1996,10,0.728565826747871
1996,11,0.526068242869604
1996,12,0.546890784670259
1996,13,0.615343802673483
1996,14,0.882248480638235
1996,15,0.764318441605965
1997,0,0.0364659731363763
1997,1,0.112608441879711
1997,2,0.246217109287743
1997,3,0.391203025283202
1997,4,0.536489468545461
1997,5,0.531163926894401
1997,6,0.494307330841162
1997,7,0.587538329185478
1997,8,0.646632683310353
1997,9,0.638580335151128
1997,10,0.578604726330357
1997,11,0.720173457999983
1997,12,0.541500458413385
1997,13,0.58047966726212
1997,14,0.631726297291764
1997,15,0.832789962298507
1998,0,0.0342194717751435
1998,1,0.0972521837576028
1998,2,0.250362232475625
1998,3,0.400873166914646
1998,4,0.470671830391362
1998,5,0.54430591795071
1998,6,0.527457680703782
1998,7,0.514336967799555
1998,8,0.623692513004021
1998,9,0.661877421959175
1998,10,0.622318875746284
1998,11,0.560688562223441
1998,12,0.726716899866843
1998,13,0.56345163147259
1998,14,0.584210747701003
1998,15,0.584581307326748
1999,0,0.0365006566482503
1999,1,0.0943580031908434
1999,2,0.223558462570364
1999,3,0.421455242555513
1999,4,0.498674171894426
1999,5,0.493735037787492
1999,6,0.558850945620247
1999,7,0.567456004458848
1999,8,0.564515606832461
1999,9,0.660061393119216
1999,10,0.666912544032027
1999,11,0.623514532136584
1999,12,0.584983654625611
1999,13,0.78183832996131
1999,14,0.586317770347047
1999,15,0.558958283730841
2000,0,0.0444627245015476
2000,1,0.133230988061697
2000,2,0.287124085382977
2000,3,0.498164631043277
2000,4,0.694001612231017
2000,5,0.692455305600532
2000,6,0.671036297631239
2000,7,0.795865531230308
2000,8,0.82444092040701
2000,9,0.790840468818322
2000,10,0.88038935348733
2000,11,0.884507710258125
2000,12,0.86112806850295
2000,13,0.833095062160318
2000,14,1.07694247316224
2000,15,0.742577938143052
2001,0,0.0456155841750612
2001,1,0.129827768904896
2001,2,0.324312048398943
2001,3,0.511821295899626
2001,4,0.656219090330016
2001,5,0.770907556973867
2001,6,0.752854002146258
2001,7,0.764463351235934
2001,8,0.924983511353458
2001,9,0.923930752941454
2001,10,0.843813145360835
2001,11,0.934059346260982
2001,12,0.97721413427254
2001,13,0.981037313234846
2001,14,0.917988116266121
2001,15,1.09110976350472
2002,0,0.0464300894651852
2002,1,0.125043609621212
2002,2,0.296689493075537
2002,3,0.542735899027394
2002,4,0.632952414200383
2002,5,0.684332904041832
2002,6,0.786861066860534
2002,7,0.80518960391551
2002,8,0.834118403512357
2002,9,0.973174257949925
2002,10,0.925493904689839
2002,11,0.840470961986993
2002,12,0.968811589472052
2002,13,1.04516355791341
2002,14,1.01485679234772
2002,15,0.873151760409009
2003,0,0.0430453772998283
2003,1,0.115137709411011
2003,2,0.258503173150487
2003,3,0.449156238140707
2003,4,0.607171056964728
2003,5,0.597116986863452
2003,6,0.631877629796876
2003,7,0.761298995291914
2003,8,0.79476548088167
2003,9,0.793878661163624
2003,10,0.881849669418367
2003,11,0.833911173897985
2003,12,0.788601088428383
2003,13,0.93735402360523
2003,14,0.978077569690617
2003,15,0.873227172602288
2004,0,0.0408216932143472
2004,1,0.113890569689728
2004,2,0.253959897746731
2004,3,0.417546001849059
2004,4,0.536121383912804
2004,5,0.611142671752244
2004,6,0.588258439084102
2004,7,0.652278947099339
2004,8,0.801750566773948
2004,9,0.807065166343443
2004,10,0.767540417851185
2004,11,0.847781564909686
2004,12,0.834829205265796
2004,13,0.814075859550824
2004,14,0.935913841949771
2004,15,0.897922718253612
2005,0,0.0425761300104539
2005,1,0.114708690126987
2005,2,0.266796042458913
2005,3,0.435659966823378
2005,4,0.529314855892458
2005,5,0.573110990278734
2005,6,0.63943353340396
2005,7,0.644930040751679
2005,8,0.729560714420128
2005,9,0.864675078827895
2005,10,0.828704673906786
2005,11,0.783672714200243
2005,12,0.901375747436899
2005,13,0.915269936676989
2005,14,0.863259086655282
2005,15,0.912526720634229
2006,0,0.0403699856108184
2006,1,0.119557178386329
2006,2,0.268529563503847
2006,3,0.45736830071975
2006,4,0.551901501104787
2006,5,0.565449543199244
2006,6,0.599232974773114
2006,7,0.700557869702308
2006,8,0.72084991700541
2006,9,0.786283702551087
2006,10,0.887254671890369
2006,11,0.845546366137287
2006,12,0.832646754360962
